Göç etme nedeni Reason for migration,Toplam Total,Okuma yazma bilmeyen  Illiterate,Okuma yazma bilen fakat  bir okul bitirmeyen Literate  without  a diploma,İlkokul Primary school,"İlköğretim,  ortaokul veya  dengi okul Primary education  lower secondary  school",Lise veya dengi okul Upper secondary school,Yükseköğretim Higher  education,Bilinmeyen Unknown
Toplam-Total,2314447.0,24183.0,148989.0,236795.0,343651.0,805521.0,748331.0,6977.0
Tayin / iş değişikliği - Assignation / change of job,269153.0,73.0,366.0,3362.0,23758.0,58518.0,182953.0,123.0
İşe başlamak / iş bulmak - Starting / finding a job,219490.0,230.0,988.0,6662.0,31023.0,80366.0,99871.0,350.0
Eğitim - Education,406144.0,4.0,131.0,1908.0,3214.0,289953.0,110920.0,14.0
"Medeni durum değişikliği / ailevi nedenler
Change of marital status / family-related reasons",131755.0,403.0,1032.0,5400.0,23565.0,34017.0,67123.0,215.0
"Daha iyi konut ve yaşam koşulları
Better housing and living conditions",484216.0,9810.0,34013.0,77816.0,106229.0,116880.0,136441.0,3027.0
"Hane / aile fertlerinden birine bağımlı göç
Migration related to any member of the household / family",446619.0,8281.0,90406.0,95827.0,98068.0,80191.0,72669.0,1177.0
"Aile yanına / memlekete geri dönme(1)
Returning to family home / hometown(1)",79715.0,1477.0,7427.0,14462.0,18558.0,19466.0,18060.0,265.0
Sağlık / bakım - Health / care,13945.0,1856.0,1671.0,4002.0,2317.0,2178.0,1778.0,143.0
Ev alınması - Buying a house,56700.0,637.0,3728.0,10426.0,11764.0,13204.0,16392.0,549.0
Emeklilik - Retirement,11885.0,52.0,56.0,1408.0,2359.0,3098.0,4864.0,48.0
Diğer - Other,39174.0,541.0,5024.0,8263.0,10435.0,8191.0,6618.0,102.0
Bilinmeyen - Unknown,155651.0,819.0,4147.0,7259.0,12361.0,99459.0,30642.0,964.0
"TÜİK, İç Göç İstatistikleri, 2025",,,,,0.0,,0.0,
"TurkStat, Internal Migration Statistics, 2025",,,,,,,,
"(1) Ülkemizde 6 Şubat 2023 tarihinde yaşanan deprem sonrasında başka bir ile göç eden kişilerden, deprem öncesindeki ikamet ettikleri illere geri dönen kişiler “Aile yanına / memlekete geri dönme” başlığı altında değerlendirilmiştir.",,,,,,,,
"(1) Those who migrated to another province after the earthquake occurred in Türkiye on February 6, 2023, and later returned to pre-earthquake province of residence are classified under the category of “Returning to family home / hometown”.",,,,,,,,
